,pop_size,pop_type,pop_infected,n_days,vaccine_type,use_waning,cum_infections,cum_deaths,cum_recoveries,cum_vaccinations,cum_vaccinated,rand_seed,target_elderly,vaccine,max_doses
treatment_17,50000,hybrid,1000,50,pfizer,True,7041.0,18.0,6923.0,629554.0,530858.0,9763,True,1,2
treatment_18,50000,hybrid,1000,50,pfizer,True,6933.0,20.0,6833.0,635624.0,536812.0,5110,True,1,2
treatment_19,50000,hybrid,1000,50,pfizer,True,6464.0,12.0,6359.0,631249.0,532481.0,7160,True,1,2
treatment_20,50000,hybrid,1000,50,pfizer,True,6255.0,15.0,6172.0,631289.0,532495.0,1583,True,1,2
treatment_21,50000,hybrid,1000,50,pfizer,True,6918.0,23.0,6805.0,633751.0,535054.0,8018,True,1,2
treatment_22,50000,hybrid,1000,50,pfizer,True,6821.0,19.0,6732.0,632270.0,533496.0,2769,True,1,2
treatment_23,50000,hybrid,1000,50,pfizer,True,6435.0,21.0,6338.0,632082.0,533270.0,3732,True,1,2
treatment_24,50000,hybrid,1000,50,pfizer,True,7154.0,18.0,7041.0,632367.0,533477.0,8402,True,1,2
treatment_25,50000,hybrid,1000,50,pfizer,True,6823.0,19.0,6726.0,630230.0,531452.0,5415,True,1,2
treatment_26,50000,hybrid,1000,50,pfizer,True,6811.0,15.0,6727.0,634216.0,535607.0,157,True,1,2
treatment_27,50000,hybrid,1000,50,pfizer,True,6809.0,14.0,6701.0,628015.0,529239.0,2047,True,1,2
treatment_28,50000,hybrid,1000,50,pfizer,True,6895.0,14.0,6797.0,633312.0,534536.0,3985,True,1,2
treatment_29,50000,hybrid,1000,50,pfizer,True,6111.0,23.0,6030.0,631852.0,532996.0,6358,True,1,2
