,control,treatment,intensity,ate,ci_low,ci_high
73,2.0,3.0,9,-2.7096586545196715,-22.939924975757663,17.52060766671832
74,3.0,4.0,9,-1.5424126950956634,-19.933724348774604,16.848898958583277
75,4.0,5.0,9,-1.0755143113260033,-17.974722820937814,15.823694198285807
76,5.0,6.0,9,-0.8420651194412017,-16.802840553585952,15.118710314703549
77,6.0,7.0,9,-0.7086655812213394,-16.425883438085293,15.008552275642614
78,7.0,8.0,9,-0.6252908698338615,-16.844793222974317,15.594211483306594
79,8.0,9.0,9,-0.5697077289088952,-17.986034056166602,16.84661859834881
80,9.0,10.0,9,-0.5307995302614472,-19.718307331231983,18.65670827070909
81,1.0,2.0,10,-7.378642492215988,-28.908492866963968,14.151207882531992
82,2.0,3.0,10,-2.7096586545196715,-22.329186135144028,16.909868826104685
83,3.0,4.0,10,-1.5424126950956634,-19.265301523111248,16.18047613291992
84,4.0,5.0,10,-1.0755143113260033,-17.254314186285058,15.103285563633051
85,5.0,6.0,10,-0.8420651194412017,-16.049664005016837,14.365533766134433
86,6.0,7.0,10,-0.7086655812213394,-15.672387298506294,14.255056136063615
87,7.0,8.0,10,-0.6252908698338615,-16.12682189679697,14.876240157129246
88,8.0,9.0,10,-0.5697077289088952,-17.329661181871813,16.190245724054023
89,9.0,10.0,10,-0.5307995302614472,-19.134199065817313,18.07260000529442
90,1.0,2.0,11,-7.378642492215988,-28.211037397554605,13.45375241312263
91,2.0,3.0,11,-2.7096586545196715,-21.62080993571135,16.201492626672007
92,3.0,4.0,11,-1.5424126950956634,-18.578314574480032,15.493489184288705
93,4.0,5.0,11,-1.0755143113260033,-16.619351549555233,14.468322926903227
94,5.0,6.0,11,-0.8420651194412017,-15.504259980146628,13.820129741264225
95,6.0,7.0,11,-0.7086655812213394,-15.252130048314598,13.834798885871919
96,7.0,8.0,11,-0.6252908698338615,-15.850915487393195,14.600333747725472
97,8.0,9.0,11,-0.5697077289088952,-17.19471919807603,16.05530374025824
98,9.0,10.0,11,-0.5307995302614472,-19.121187130685882,18.059588070162988
99,1.0,2.0,12,-7.378642492215988,-27.816475373158596,13.05919038872662
100,2.0,3.0,12,-2.7096586545196715,-21.311564093961522,15.892246784922179
101,3.0,4.0,12,-1.5424126950956634,-18.4316147555852,15.346789365393875
102,4.0,5.0,12,-1.0755143113260033,-16.68850845259334,14.537479829941333
103,5.0,6.0,12,-0.8420651194412017,-15.82369961782706,14.139569378944657
104,6.0,7.0,12,-0.7086655812213394,-15.821709691361946,14.404378528919267
105,7.0,8.0,12,-0.6252908698338615,-16.633085203954522,15.382503464286799
106,8.0,9.0,12,-0.5697077289088952,-18.132790226794157,16.993374768976366
107,9.0,10.0,12,-0.5307995302614472,-20.161775051364373,19.10017599084148
108,1.0,2.0,13,-7.378642492215931,-28.324569726565073,13.56728474213321
109,2.0,3.0,13,-2.709658654519785,-22.052605303921496,16.633287994881925
110,3.0,4.0,13,-1.5424126950956634,-19.518911869390536,16.43408647919921
111,4.0,5.0,13,-1.0755143113259464,-18.16831866989253,16.017290047240635
112,5.0,6.0,13,-0.8420651194412585,-17.683477997062027,15.99934775817951
113,6.0,7.0,13,-0.7086655812212257,-17.988597888701065,16.571266726258614
114,7.0,8.0,13,-0.6252908698338615,-19.000371980537352,17.74979024086963
115,8.0,9.0,13,-0.569707728908952,-20.599229033232973,19.45981357541507
116,9.0,10.0,13,-0.5307995302614472,-22.65487001642896,21.593270955906064
117,1.0,2.0,14,-7.378642492215931,-30.323636635308162,15.5663516508763
118,2.0,3.0,14,-2.709658654519785,-24.41936770763448,19.000050398594908
119,3.0,4.0,14,-1.5424126950956634,-22.356813121236883,19.271987731045556
120,4.0,5.0,14,-1.0755143113259464,-21.47471564166449,19.323687019012596
121,5.0,6.0,14,-0.8420651194412585,-21.383064154658655,19.698933915776138
122,6.0,7.0,14,-0.7086655812212257,-21.9582335783723,20.54090241592985
123,7.0,8.0,14,-0.6252908698338615,-23.107653715885363,21.85707197621764
124,8.0,9.0,14,-0.569707728908952,-24.735404733257155,23.59598927543925
125,9.0,10.0,14,-0.5307995302614472,-26.747463262163137,25.685864201640243
126,1.0,2.0,15,-7.378642492215931,-34.13087918226529,19.373594197833427
127,2.0,3.0,15,-2.709658654519785,-28.636980229638084,23.217662920598514
128,3.0,4.0,15,-1.5424126950956634,-27.04241542640932,23.957590036217994
129,4.0,5.0,15,-1.0755143113259464,-26.58007596614152,24.42904734348963
130,5.0,6.0,15,-0.8420651194412585,-26.807796364306228,25.12366612542371
131,6.0,7.0,15,-0.7086655812212257,-27.580783710990545,26.163452548548094
132,7.0,8.0,15,-0.6252908698338615,-28.81249696408338,27.561915224415657
133,8.0,9.0,15,-0.569707728908952,-30.430425062116228,29.291009604298324
134,9.0,10.0,15,-0.5307995302614472,-32.36915735084904,31.307558290326142
135,1.0,2.0,16,-7.378642492215931,-39.72917583196772,24.97189084753586
136,2.0,3.0,16,-2.709658654519785,-34.60204449801245,29.182727188972876
137,3.0,4.0,16,-1.5424126950956634,-33.39313515126685,30.30830976107552
138,4.0,5.0,16,-1.0755143113259464,-33.25518652597691,31.104157903325017
139,5.0,6.0,16,-0.8420651194412585,-33.71724187890618,32.03311164002366
140,6.0,7.0,16,-0.7086655812212257,-34.628456482555634,33.21112532011318
141,7.0,8.0,16,-0.6252908698338615,-35.91079604448066,34.66021430481294
142,8.0,9.0,16,-0.569707728908952,-37.50821676227747,36.368801304459566
143,9.0,10.0,16,-0.5307995302614472,-39.374044276785185,38.31244521626229
